itemNumber	string	score	depth	hierarchy
75680068	landbouwkundig onderzoek	10	2	wetenschappelijk onderzoek
75614502	magnetisme	10	2	natuurkunde
174684134	aandachtstekortstoornis (met hyperactiviteit)	10	3	psychiatrie
75603195	computertoepassingen	10	1	computertoepassingen
75665611	wormen	10	3	dieren
75608243	granen	10	2	voedingsmiddelen
75665239	waterhuishouding	10	1	waterhuishouding
75598922	duurzame energie	10	2	energie
75683245	wiskundige analyse	10	2	wiskunde
75663325	regionale economie	10	2	economie
75608324	griep	10	3	ziekteleer
75622653	spijsverteringsorganen	10	1	spijsverteringsorganen
75615037	metaalkunde	10	1	metaalkunde
75615134	methodologie	10	1	methodologie
75626950	waterverontreiniging	10	2	milieuverontreiniging
26164419x	celdood	10	3	biologie
75615274	microscopie	10	1	microscopie
75622696	staalconstructies	10	3	techniek
75620715	roken	10	2	verslaving
75614898	meetinstrumenten	10	1	meetinstrumenten
75656493	aansprakelijkheid	10	1	aansprakelijkheid
07560731x	geofysica	10	2	natuurkunde
75598590	adolescentie	10	4	sociale wetenschappen
75658933	etnische groepen ; nederland	10	3	antropologie
75657341	beendergestel	10	4	antropologie
163824193	duurzaam bouwen	10	2	bouwkunde
75642662	oeganda	10	1	oeganda
90642074	magnetische materialen	9	2	metalen
75658283	computerlinguïstiek	9	2	taalwetenschap
75657686	biometrie	9	1	biometrie
158564022	psychofysiologie	9	3	sociale wetenschappen
298060728	barrett-oesofagus	9	3	geneeskunde
75624737	tuberculose	9	3	ziekteleer
07568473x	ziekte van alzheimer	9	2	ziekteleer
75663880	spierstelsel	9	1	spierstelsel
75658321	computersystemen	9	1	computersystemen
24182625x	ontwikkelingsbiologie	9	2	biologie
75661144	mathematische programmering	9	1	mathematische programmering
07566089x	lineaire programmering	9	2	mathematische programmering
243146582	materiaalmoeheid	9	2	materialenkennis
291493238	lactococcen	9	2	bacteriën
75663422	rijstbouw	9	4	economie
75600447	bedrijfsorganisatie	9	2	organisatieleer
75600943	beton	9	3	materialenkennis
292486073	lymfocyten	9	3	hematologie
75658666	econometrische modellen	9	1	econometrische modellen
75664186	systeemontwikkeling (informatica)	9	3	technologie
75663732	kleur- en smaakstoffen	9	4	technologie
75657228	bedrijfsinnovatie	9	2	innovatie
75616491	netwerkplanning	9	2	organisatieleer
75665786	ziektekosten	9	1	ziektekosten
237788888	stamceltransplantatie	9	2	hematologie
75660008	innovatie	9	1	innovatie
75664623	vaste-stoffysica	9	2	natuurkunde
75615908	multinationale ondernemingen	9	2	ondernemingen
75640066	tanzania	9	1	tanzania
75600234	bankwezen	9	3	economie
75618311	patiënten	9	1	patiënten
18332689x	china ; economie	9	2	china
75654415	dierproeven	9	1	dierproeven
75663090	privacy	9	2	grondrechten
75672782	cad/cam	9	2	computergraphics
188708510	west-afrika	9	2	afrika
75603454	corrosie	9	1	corrosie
75642654	zimbabwe	9	1	zimbabwe
75658178	chromosomen	9	3	biologie
75664275	tarwe	9	3	voedingsmiddelen
168749203	overstromingen	9	3	rampen
75660733	lasertechniek	9	2	techniek
75657635	bio-energie	9	2	energie
227450655	kinderoncologie	9	3	ziekteleer
75626276	voedselvraagstuk	9	2	ontwikkelingssamenwerking
75605260	emoties	9	3	sociale wetenschappen
75599988	automobilisme	9	1	automobilisme
75619970	radiologie	9	2	geneeskunde
153878231	personenvervoer	9	2	vervoer
75605309	energiebesparing	9	2	energie
75617226	ontwikkelingslanden	9	1	ontwikkelingslanden
75639173	ghana	9	1	ghana
75612941	landbouw	9	3	economie
75635526	arbeidsomstandigheden	9	1	arbeidsomstandigheden
75622025	sociale geografie	9	2	geografie
75617641	organisatieleer	9	1	organisatieleer
75660725	landschapsecologie	9	2	ecologie
75672596	cultuursociologie	9	3	sociale wetenschappen
323940382	eierstokkanker	8	3	ziekteleer
75622548	sportgeneeskunde	8	2	sport
75617145	onroerende zaken	8	1	onroerende zaken
264121368	hersentumoren	8	3	ziekteleer
75652528	kunstmatige intelligentie	8	1	kunstmatige intelligentie
75601923	bouwkunst	8	2	kunst
75600951	betonconstructies	8	3	techniek
75636778	verkeer	8	1	verkeer
75635283	farmacie	8	1	farmacie
