brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
De Vork (Heerhugowaard)	276848977	075632705,075632861,07563807X,276848977	4
Nibbixwoud	075640589	075632705,075632861,075640589	3
Langedijk	075640600	075632705,075632861,075640600	3
Beemster	075640643	075632705,075632861,075640643	3
Zandvoort	075640708	075632705,075632861,075640708	3
Zaanstad	075642948	075632705,075632861,075642948	3
Saendelft (Zaanstad)	27696005X	075632705,075632861,075642948,27696005X	4
Rosmolenbuurt (Zaanstad)	315919469	075632705,075632861,075642948,315919469	4
Hoofddorp	075643146	075632705,075632861,075643146	3
Broek in Waterland	075643243	075632705,075632861,075643243	3
Muiderberg	075643251	075632705,075632861,075643251	3
Vijfhuizen	075643316	075632705,075632861,075643316	3
Marken	075643383	075632705,075632861,075643383	3
Huizen	075643588	075632705,075632861,075643588	3
Schermer	075645203	075632705,075632861,075645203	3
Blaricum	07565489X	075632705,075632861,07565489X	3
Bloemendaal	075655934	075632705,075632861,075655934	3
Park Brederode (Bloemendaal)	314638407	075632705,075632861,075655934,314638407	4
Kennemerland	075654296	075632705,075632861,075654296	3
Hoogwoud	075662590	075632705,075632861,075662590	3
Schagen	075662868	075632705,075632861,075662868	3
Egmond Binnen	075666111	075632705,075632861,075666111	3
Andijk	075670070	075632705,075632861,075670070	3
Hoogkarspel	075670089	075632705,075632861,075670089	3
Amstel	075670445	075632705,075632861,075670445	3
Spaarne	075670453	075632705,075632861,075670453	3
Egmond aan Zee	075670585	075632705,075632861,075670585	3
Venhuizen	075670798	075632705,075632861,075670798	3
Ursem	075670895	075632705,075632861,075670895	3
Rustenburg	075670909	075632705,075632861,075670909	3
Obdam	075670917	075632705,075632861,075670917	3
Wijdewormer	075672804	075632705,075632861,075672804	3
Nieuwer-Amstel	075672820	075632705,075632861,075672820	3
Broek op Langedijk	075672839	075632705,075632861,075672839	3
Harenkarspel	075672898	075632705,075632861,075672898	3
Graft	075686821	075632705,075632861,075686821	3
Zuiderwoude	075686988	075632705,075632861,075686988	3
Akersloot	075668327	075632705,075632861,075668327	3
Wieringermeer	075671042	075632705,075632861,075671042	3
Westwoud	075671417	075632705,075632861,075671417	3
Spierdijk	075671425	075632705,075632861,075671425	3
Blokker	075671441	075632705,075632861,075671441	3
Schellinkhout	07567145X	075632705,075632861,07567145X	3
Nieuwe-Niedorp	075671468	075632705,075632861,075671468	3
Winkel	075671476	075632705,075632861,075671476	3
Midwoud	075671492	075632705,075632861,075671492	3
Oostwoud	075671506	075632705,075632861,075671506	3
Spanbroek	075671603	075632705,075632861,075671603	3
Opmeer	075671611	075632705,075632861,075671611	3
Wijdenes	07567162X	075632705,075632861,07567162X	3
Schermerhorn	07567193X	075632705,075632861,07567193X	3
Sint Maarten (NH)	075671948	075632705,075632861,075671948	3
Oosthuizen	075671964	075632705,075632861,075671964	3
Hauwert	075671972	075632705,075632861,075671972	3
De Weere	075671980	075632705,075632861,075671980	3
Warmenhuizen	075671999	075632705,075632861,075671999	3
Grootschermer	075672278	075632705,075632861,075672278	3
Driehuizen	075672286	075632705,075632861,075672286	3
Holysloot	075675471	075632705,075632861,075675471	3
Valkeveen	075689979	075632705,075632861,075689979	3
Wieringerwaard	075690055	075632705,075632861,075690055	3
Huiswaard	075690721	075632705,075632861,075690721	3
Bovenkerk	08579855X	075632705,075632861,08579855X	3
Oudorp	089408462	075632705,075632861,089408462	3
Niedorp	089515366	075632705,075632861,089515366	3
Drechterland	081611706	075632705,075632861,081611706	3
Castricum	086493922	075632705,075632861,086493922	3
Schoutenbosch (Castricum)	277953138	075632705,075632861,086493922,277953138	4
Heemskerk	087518511	075632705,075632861,087518511	3
Marquette (landgoed)	288508971	075632705,075632861,087518511,288508971	4
Noord-Kennemerland	090564359	075632705,075632861,090564359	3
Wormerland	095095187	075632705,075632861,095095187	3
Driehuis	106822144	075632705,075632861,106822144	3
Velserbroek	106822160	075632705,075632861,106822160	3
Spaarndammerpolder	106822195	075632705,075632861,106822195	3
Pampus	109598830	075632705,075632861,109598830	3
Nieuwendam	11098577X	075632705,075632861,11098577X	3
Spijkerboor (NH)	112483135	075632705,075632861,112483135	3
Watergang	113868987	075632705,075632861,113868987	3
Den Ilp	124917909	075632705,075632861,124917909	3
Purmerland (dorp)	124919162	075632705,075632861,124919162	3
Wester-Koggenland	097927112	075632705,075632861,097927112	3
Buitenloof (Wester-Koggenland)	276956184	075632705,075632861,097927112,276956184	4
Ouder-Amstel	100835708	075632705,075632861,100835708	3
Wijk aan Zee	107689278	075632705,075632861,107689278	3
Ankeveen	112702058	075632705,075632861,112702058	3
Oude Goog (Ankeveen)	163626774	075632705,075632861,112702058,163626774	4
Nieuwesluis	113597746	075632705,075632861,113597746	3
Bovenkerkerpolder	115078479	075632705,075632861,115078479	3
Middelpolder	115078673	075632705,075632861,115078673	3
Egmond	124209238	075632705,075632861,124209238	3
Kolhorn	136473849	075632705,075632861,136473849	3
Anna Paulownapolder	138537194	075632705,075632861,138537194	3
Hensbroek	134828038	075632705,075632861,134828038	3
Spaarnwoude	140823166	075632705,075632861,140823166	3
Penningsveer	140823220	075632705,075632861,140823220	3
Opperdoes	143427024	075632705,075632861,143427024	3
Amstelmeer	145995828	075632705,075632861,145995828	3
IJmeer	14691175X	075632705,075632861,14691175X	3
Meerlanden	148303625	075632705,075632861,148303625	3
Haarlemmerliede	148304656	075632705,075632861,148304656	3
Naardermeer	149277601	075632705,075632861,149277601	3
Amstelland	150634390	075632705,075632861,150634390	3
De Gouw	150653271	075632705,075632861,150653271	3
Barsingerhorn	148289215	075632705,075632861,148289215	3
Waardpolder	155038095	075632705,075632861,155038095	3
Noordhollandsch Kanaal	155727354	075632705,075632861,155727354	3
Loosdrechtse Plassen	157017761	075632705,075632861,157017761	3
Ursemmerplas	167663569	075632705,075632861,167663569	3
Schoten	169119912	075632705,075632861,169119912	3
Oosterdijk	170105245	075632705,075632861,170105245	3
Wijde Blik	175167443	075632705,075632861,175167443	3
Hem	175328196	075632705,075632861,175328196	3
Ruigoord	180400630	075632705,075632861,180400630	3
Kortenhoef	183176588	075632705,075632861,183176588	3
Bovenkarspel	189119314	075632705,075632861,189119314	3
Zuid-Kennemerland	154845353	075632705,075632861,154845353	3
Den Oever	162740840	075632705,075632861,162740840	3
Julianadorp	166508756	075632705,075632861,166508756	3
Gein (rivier)	168607522	075632705,075632861,168607522	3
Amsterdamse Waterleidingduinen	174451822	075632705,075632861,174451822	3
Velserbroekpolder	185370624	075632705,075632861,185370624	3
Eilandspolder	187341281	075632705,075632861,187341281	3
Abtskolk	19164773X	075632705,075632861,19164773X	3
Elswout	191647780	075632705,075632861,191647780	3
Broekerhaven	19170332X	075632705,075632861,19170332X	3
Hoevervaart	191852821	075632705,075632861,191852821	3
Abbekerk	075628872	075632705,075632861,075628872	3
Alkmaar	075628937	075632705,075632861,075628937	3
Egmonderhout (Alkmaar)	276883063	075632705,075632861,075628937,276883063	4
Oosterhout (Alkmaar)	288979737	075632705,075632861,075628937,288979737	4
Rekerhout (Alkmaar)	288980344	075632705,075632861,075628937,288980344	4
Schelphoek (Alkmaar)	297346482	075632705,075632861,075628937,297346482	4
Bergerhof (Alkmaar)	357981340	075632705,075632861,075628937,357981340	4
Houtwaard (Alkmaar)	381154610	075632705,075632861,075628937,381154610	4
Alkmaarder Hout (Alkmaar)	313074771	075632705,075632861,075628937,313074771	4
Diemen	07563046X	075632705,075632861,07563046X	3
Burgerveen	20278875X	075632705,075632861,20278875X	3
Westpoort	203440641	075632705,075632861,203440641	3
Oostzaan	075633051	075632705,075632861,075633051	3
Purmerend	075633310	075632705,075632861,075633310	3
Baanstee-Noord	297346555	075632705,075632861,075633310,297346555	4
Slufter (Texel)	205438474	075632705,075632861,205438474	3
Scharwoude	075633582	075632705,075632861,075633582	3
Schoorl	07563368X	075632705,075632861,07563368X	3
Haarlemmermeerpolder	213896079	075632705,075632861,213896079	3
De Purmer	212461834	075632705,075632861,212461834	3
Noord-Hollands Duinreservaat	213055015	075632705,075632861,213055015	3
Wieringerwerf	216566681	075632705,075632861,216566681	3
Medemblik	075635666	075632705,075632861,075635666	3
Wormer	075635674	075632705,075632861,075635674	3
Wijkertunnel	216893038	075632705,075632861,216893038	3
Het Gooi	075636271	075632705,075632861,075636271	3
Duivendrecht	220387346	075632705,075632861,220387346	3
Castricummerpolder	220387958	075632705,075632861,220387958	3
Graft-De Rijp	07563810X	075632705,075632861,07563810X	3
Zaan (rivier)	215164539	075632705,075632861,215164539	3
Huisduinen	216226864	075632705,075632861,216226864	3
Tuitjenhorn	21667820X	075632705,075632861,21667820X	3
Uitgeest	075638886	075632705,075632861,075638886	3
Westknollendam	075638916	075632705,075632861,075638916	3
Zaanse Schans	21716403X	075632705,075632861,21716403X	3
Laren (NH)	075641682	075632705,075632861,075641682	3
Badhoevedorp	075641763	075632705,075632861,075641763	3
Sloten (NH)	075641771	075632705,075632861,075641771	3
Halfweg	07564178X	075632705,075632861,07564178X	3
Zwanenburg (NH)	075641798	075632705,075632861,075641798	3
Monnickendam	075643758	075632705,075632861,075643758	3
Marsdiep	075644053	075632705,075632861,075644053	3
Limmen	075644347	075632705,075632861,075644347	3
Schermerland	07564438X	075632705,075632861,07564438X	3
's-Graveland	075644444	075632705,075632861,075644444	3
Gooilust	370661729	075632705,075632861,075644444,370661729	4
Schoonoord (landgoed)	370661893	075632705,075632861,075644444,370661893	4
Schaep en Burgh	370662091	075632705,075632861,075644444,370662091	4
Berkhout	075644460	075632705,075632861,075644460	3
Zwaag	075644479	075632705,075632861,075644479	3
Wognum	075644487	075632705,075632861,075644487	3
Loosdrecht	075644509	075632705,075632861,075644509	3
Twisk	075644517	075632705,075632861,075644517	3
Benningbroek	075644568	075632705,075632861,075644568	3
Sijbekarspel	075644576	075632705,075632861,075644576	3
Wormerveer	075645645	075632705,075632861,075645645	3
Wilhelminapark (Wormerveer)	318015579	075632705,075632861,075645645,318015579	4
Den Burg	075646382	075632705,075632861,075646382	3
Egmond aan den Hoef	230380298	075632705,075632861,230380298	3
Nes aan de Amstel	231025890	075632705,075632861,231025890	3
Kennemerstrand	231030037	075632705,075632861,231030037	3
Groot-Amsterdam	234601450	075632705,075632861,234601450	3
Vogelenzang	237362147	075632705,075632861,237362147	3
Landgoed 't Huis te Vogelenzang	417375778	075632705,075632861,237362147,417375778	4
Sint-Aagtenkerke	239401905	075632705,075632861,239401905	3
Ilperveld	240120523	075632705,075632861,240120523	3
Zuidermeer	241386942	075632705,075632861,241386942	3
Wijkermeer	24218328X	075632705,075632861,24218328X	3
Rijnland	242478794	075632705,075632861,242478794	3
Schoorlse duinen	24259817X	075632705,075632861,24259817X	3
Oudeschild	24332247X	075632705,075632861,24332247X	3
Zanderij Crailo	23984887X	075632705,075632861,23984887X	3
Rijsenhout	240988167	075632705,075632861,240988167	3
Kraansvlak	241078865	075632705,075632861,241078865	3
Balgzandkanaal	245932879	075632705,075632861,245932879	3
Westerland (NH)	256277087	075632705,075632861,256277087	3
Horstermeerpolder	260312525	075632705,075632861,260312525	3
Warder	260645214	075632705,075632861,260645214	3
Bergen aan Zee	262597985	075632705,075632861,262597985	3
Volgermeerpolder	275138399	075632705,075632861,275138399	3
Bakkum	275396134	075632705,075632861,275396134	3
Rietpolder	275901998	075632705,075632861,275901998	3
Achtersluispolder	276848969	075632705,075632861,276848969	3
Noorderham	276849140	075632705,075632861,276849140	3
Hoekgatterduin	276863550	075632705,075632861,276863550	3
Limmerveentje	276880439	075632705,075632861,276880439	3
Het Die	276880447	075632705,075632861,276880447	3
Weideveld	276882091	075632705,075632861,276882091	3
Lepelaarplassen	276883926	075632705,075632861,276883926	3
Weijenbus-Vroonmeer	276888693	075632705,075632861,276888693	3
Westzanerpolder	276889029	075632705,075632861,276889029	3
Purmerland (groengebied)	276959922	075632705,075632861,276959922	3
Bergermeerpolder	276961005	075632705,075632861,276961005	3
Santpoort-Zuid	276965809	075632705,075632861,276965809	3
Aalsmeer	07565315X	075632705,075632861,07565315X	3
Wieringerrandmeer	277179696	075632705,075632861,277179696	3
Wormer- en Jisperveld	277180511	075632705,075632861,277180511	3
Heilooërdie	277184851	075632705,075632861,277184851	3
